episode,reward,length,success,epsilon,replay_size,avg_reward,avg_length,success_rate,avg_loss
68,-2097.8000000000025,200,False,0.9043168787142807,11471,-1841.8301470588237,168.69117647058823,27.941176470588236,23.70189129829407
69,-593.0999999999992,84,True,0.9029604033962093,11555,-1823.7326086956525,167.46376811594203,28.985507246376812,24.024564390182494
70,-2316.3000000000006,200,False,0.901605962791115,11755,-1830.769285714286,167.92857142857142,28.57142857142857,23.02228518486023
71,-2226.299999999998,200,False,0.9002535538469284,11955,-1836.3401408450707,168.38028169014083,28.169014084507044,23.2108544921875
72,-1576.8999999999985,146,True,0.898903173516158,12101,-1832.7368055555557,168.06944444444446,29.166666666666668,23.89165915489197
73,-207.20000000000005,32,True,0.8975548187558838,12133,-1810.4691780821922,166.2054794520548,30.136986301369863,25.413486080169676
74,-630.7999999999992,102,True,0.8962084865277501,12235,-1794.527702702703,165.33783783783784,31.08108108108108,26.61537986755371
75,-614.0999999999996,56,True,0.8948641737979585,12291,-1778.788666666667,163.88,32.0,27.643064155578614
76,-2033.7999999999975,200,False,0.8935218775372615,12491,-1782.1440789473686,164.35526315789474,31.57894736842105,25.809657955169676
77,-1915.6999999999982,200,False,0.8921815947209557,12691,-1783.8785714285718,164.8181818181818,31.16883116883117,25.886850328445433
78,-2055.7999999999975,200,False,0.8908433223288743,12891,-1787.3647435897437,165.26923076923077,30.76923076923077,25.006124897003176
79,5.449999999999999,7,True,0.889507057345381,12898,-1764.6708860759493,163.26582278481013,31.645569620253166,24.797067050933837
80,-1739.899999999998,200,False,0.888172796759363,13098,-1764.3612500000004,163.725,31.25,29.649330549240112
81,-1910.699999999998,200,False,0.886840537564224,13298,-1766.1679012345683,164.17283950617283,30.864197530864196,26.30764902114868
82,-955.8999999999979,164,True,0.8855102767578777,13462,-1756.286585365854,164.17073170731706,31.70731707317073,27.375778636932374
83,-2162.7999999999975,200,False,0.884182011342741,13662,-1761.1843373493978,164.6024096385542,31.32530120481928,26.773125686645507
84,-4868.400000000008,200,False,0.882855738325727,13862,-1798.1750000000002,165.02380952380952,30.952380952380953,25.89577971458435
85,-2216.300000000002,154,True,0.8815314547182383,14016,-1803.0941176470587,164.89411764705883,31.76470588235294,28.987783937454225
86,-1317.4499999999964,189,True,0.880209157536161,14205,-1797.4470930232555,165.17441860465115,32.55813953488372,29.87919095993042
87,-2051.1999999999975,200,False,0.8788888437998569,14405,-1800.3637931034482,165.57471264367817,32.18390804597701,29.787234115600587
88,-2659.0000000000023,200,False,0.8775705105341571,14605,-1810.1210227272727,165.9659090909091,31.818181818181817,29.254111127853392
89,16.25,5,True,0.876254154768356,14610,-1789.6,164.1573033707865,32.58426966292135,28.933774824142457
90,-585.5499999999997,89,True,0.8749397735362036,14699,-1776.2216666666666,163.32222222222222,33.33333333333333,32.234265613555905
91,-1810.0499999999975,159,True,0.8736273638758993,14858,-1776.5934065934064,163.27472527472528,34.065934065934066,28.550577516555787
92,-239.25000000000034,67,True,0.8723169228300856,14925,-1759.8831521739128,162.22826086956522,34.78260869565217,31.65073429107666
93,-461.20000000000033,82,True,0.8710084474458405,15007,-1745.918817204301,161.36559139784947,35.483870967741936,33.527532806396486
94,-2119.8999999999996,200,False,0.8697019347746718,15207,-1749.8973404255316,161.77659574468086,35.1063829787234,31.26683458328247
95,-1781.3999999999987,200,False,0.8683973818725099,15407,-1750.2289473684207,162.17894736842106,34.73684210526316,35.16691407203675
96,-1691.6999999999975,200,False,0.8670947857997012,15607,-1749.6192708333335,162.57291666666666,34.375,33.883314237594604
97,-1645.399999999999,200,False,0.8657941436210017,15807,-1748.5448453608249,162.95876288659792,34.02061855670103,33.26170783996582
98,-2995.9000000000055,200,False,0.8644954524055702,16007,-1761.2729591836735,163.33673469387756,33.6734693877551,29.387339124679567
99,-435.30000000000007,52,True,0.863198709226962,16059,-1747.879292929293,162.21212121212122,34.34343434343434,32.045340356826785
100,-2434.0999999999995,200,False,0.8619039111631216,16259,-1754.7414999999999,162.59,34.0,31.62099226951599
101,-1499.2999999999972,188,True,0.8606110552963769,16447,-1738.0904999999998,162.47,35.0,32.93568908691406
102,-2050.5999999999985,200,False,0.8593201387134324,16647,-1739.1805,162.47,35.0,32.66714982032776
103,-59.249999999999986,19,True,0.8580311585053623,16666,-1720.7559999999999,160.66,36.0,31.192929105758665
104,-2337.000000000002,200,False,0.8567441117676042,16866,-1743.4855000000002,162.51,35.0,31.74988947868347
105,-2351.400000000001,200,False,0.8554589955999529,17066,-1766.0639999999999,164.28,34.0,34.920179748535155
106,-1420.499999999998,142,True,0.8541758071065529,17208,-1766.5079999999998,163.7,35.0,32.37458963394165
107,-2208.1000000000026,186,True,0.8528945433958932,17394,-1767.7569999999998,163.74,35.0,34.98042790412903
108,-300.95000000000016,43,True,0.8516152015807994,17437,-1747.5855,162.65,35.0,33.17756909370422
109,-1452.9999999999989,200,False,0.8503377787784282,17637,-1747.8705000000002,162.65,35.0,34.76357894897461
110,-1649.7999999999972,200,False,0.8490622721102606,17837,-1746.7504999999999,162.65,35.0,38.02436544418335
111,-1581.4999999999975,180,True,0.8477886787020953,18017,-1744.8525,162.45,36.0,36.9407531452179
112,-44.8,16,True,0.8465169956840422,18033,-1722.6049999999998,160.76,36.0,37.67108330726624
113,-1833.4999999999993,200,False,0.8452472201905161,18233,-1716.4849999999994,160.76,36.0,41.512234983444216
114,-809.8999999999983,118,True,0.8439793493602304,18351,-1704.9739999999997,159.94,37.0,39.860437927246096
115,-2986.500000000008,200,False,0.8427133803361901,18551,-1709.9829999999995,159.94,37.0,39.72133334159851
116,20.9,2,True,0.8414493102656859,18553,-1690.7559999999999,157.96,38.0,39.68530851364136
117,-1032.549999999997,141,True,0.8401871363002874,18694,-1678.2724999999998,157.37,39.0,41.75735324859619
118,-341.1500000000002,61,True,0.838926855595837,18755,-1649.8509999999997,155.98,40.0,34.303694562911986
119,-1367.049999999999,79,True,0.8376684653124433,18834,-1655.279,155.8,40.0,40.8760813999176
120,-2166.2000000000003,200,False,0.8364119626144747,19034,-1677.019,157.76,39.0,43.683920001983644
121,-1978.299999999999,200,False,0.835157344670553,19234,-1669.9609999999998,157.76,39.0,41.15864091873169
122,-674.6999999999992,114,True,0.8339046086535472,19348,-1655.9459999999997,156.9,40.0,42.25362964630127
123,-1422.9499999999978,179,True,0.8326537517405669,19527,-1651.8295,156.69,41.0,45.838500385284426
124,20.75,3,True,0.8314047711129561,19530,-1649.1895000000002,156.29,41.0,46.19770048141479
125,-1932.8999999999983,200,False,0.8301576639562867,19730,-1649.6655,156.29,41.0,44.84731046676636
126,-2409.6000000000045,200,False,0.8289124274603523,19930,-1640.5695,156.29,41.0,42.94059101104736
127,-1713.2999999999977,200,False,0.8276690588191619,20130,-1632.1454999999999,156.29,41.0,38.83012640953064
128,-1669.999999999998,200,False,0.8264275552309331,20330,-1627.2244999999996,156.29,41.0,43.61358152389526
129,-3987.0000000000136,200,False,0.8251879138980868,20530,-1657.9044999999999,157.13,40.0,37.599193544387816
130,-1604.3999999999983,200,False,0.8239501320272397,20730,-1649.8445,157.13,40.0,44.10404070854187
131,-1984.5999999999983,200,False,0.8227142068291988,20930,-1628.5564999999997,157.13,40.0,41.40225069046021
132,-438.85000000000014,65,True,0.821480135518955,20995,-1613.8759999999997,155.78,41.0,41.85818830490112
133,-2956.0000000000045,200,False,0.8202479153156766,21195,-1617.443,155.78,41.0,46.2518683052063
134,-1015.7999999999977,154,True,0.8190175434427032,21349,-1589.7079999999999,155.32,42.0,40.86572845458984
135,-1721.2999999999986,200,False,0.8177890171275392,21549,-1581.2849999999996,155.32,42.0,46.52167840957642
136,-483.7000000000002,64,True,0.8165623336018479,21613,-1561.2619999999995,153.96,43.0,43.99560701370239
137,-2514.100000000002,200,False,0.8153374901014452,21813,-1547.0819999999994,153.96,43.0,46.32659839630127
138,-1486.399999999999,200,False,0.814114483866293,22013,-1553.8759999999997,154.98,42.0,48.13107225418091
139,-1819.5999999999974,200,False,0.8128933121404937,22213,-1571.884,156.8,41.0,44.6333784866333
140,-2292.7999999999993,200,False,0.811673972172283,22413,-1586.1764999999996,157.61,40.0,45.07502811431885
141,-285.8000000000002,44,True,0.8104564612140246,22457,-1562.8334999999995,156.05,41.0,50.84174066543579
142,-505.5500000000001,65,True,0.8092407765222036,22522,-1547.5989999999993,154.7,42.0,50.359374332427976
143,-202.25000000000014,27,True,0.8080269153574203,22549,-1525.7284999999993,152.97,43.0,46.40902782440185
144,-3098.7000000000044,200,False,0.8068148749843842,22749,-1534.5474999999994,152.97,43.0,45.54245523452759
145,-914.7999999999986,126,True,0.8056046526719076,22875,-1529.8394999999996,152.23,44.0,48.9385488319397
146,-287.5000000000001,38,True,0.8043962456928998,22913,-1529.6879999999999,152.08,44.0,45.254409847259524
147,17.1,6,True,0.8031896513243605,22919,-1511.8149999999996,150.14,45.0,44.811996612548825
148,-381.85000000000025,67,True,0.801984866847374,22986,-1495.4384999999997,148.81,46.0,47.049623069763186
149,-3491.2000000000144,200,False,0.800781889547103,23186,-1521.5455,149.95,45.0,52.39497142791748
150,20.45,1,True,0.7995807167127824,23187,-1498.3939999999996,147.96,46.0,51.78231899261475
151,-45.89999999999999,16,True,0.7983813456377132,23203,-1473.8319999999999,146.12,47.0,50.6388307762146
152,-962.8499999999991,77,True,0.7971837736192567,23280,-1469.7784999999997,144.89,48.0,48.91259680747986
153,-3618.400000000007,200,False,0.7959879979588279,23480,-1492.6649999999997,145.66,47.0,51.226479606628416
154,-6180.1000000000095,200,False,0.7947940159618897,23680,-1535.792,145.66,47.0,57.01059742927551
155,-2611.1000000000017,200,False,0.793601824937947,23880,-1547.4720000000002,145.66,47.0,50.119397983551025
156,-2413.2500000000023,153,True,0.7924114222005401,24033,-1554.9305,145.19,48.0,46.685130500793456
157,-2141.3999999999983,200,False,0.7912228050672393,24233,-1554.7725,145.19,48.0,50.444064416885375
158,-2067.599999999999,200,False,0.7900359708596385,24433,-1560.7405,145.29,47.0,51.50927442550659
159,15.85,3,True,0.7888509169033491,24436,-1537.214,143.32,48.0,52.807080574035645
160,-5370.3000000000075,200,False,0.7876676405279941,24636,-1574.4160000000004,143.32,48.0,54.00857353210449
161,-4698.800000000008,200,False,0.7864861390672021,24836,-1616.1650000000006,144.8,47.0,55.947504653930665
162,-58.19999999999999,16,True,0.7853064098586013,24852,-1596.5400000000006,142.96,48.0,58.87770975112915
163,-2339.5000000000023,200,False,0.7841284502438135,25052,-1600.1050000000005,142.96,48.0,62.17127201080322
164,-2456.100000000004,200,False,0.7829522575684478,25252,-1621.8800000000006,144.44,47.0,58.81767389297485
165,16.95,7,True,0.7817778291820952,25259,-1602.6815000000006,142.51,48.0,57.18130084991455
166,-1541.1999999999978,200,False,0.780605162438322,25459,-1613.3670000000004,143.88,47.0,60.15565119743347
167,-2059.1999999999994,156,True,0.7794342546946645,25615,-1615.4640000000006,143.44,48.0,55.31748445510864
168,-357.35000000000014,43,True,0.7782651033126226,25658,-1598.0595000000008,141.87,49.0,52.230814685821535
169,-1091.1499999999983,155,True,0.7770977056576537,25813,-1603.0400000000006,142.58,49.0,55.80906496047974
170,-71.09999999999997,26,True,0.7759320590991673,25839,-1580.5880000000004,140.84,50.0,57.31346946716309
171,-2179.999999999999,200,False,0.7747681610105186,26039,-1580.1250000000002,140.84,50.0,60.178427600860594
172,-939.8999999999978,200,False,0.7736060087690029,26239,-1573.7550000000003,141.38,49.0,58.41731573104858
173,-14.599999999999998,18,True,0.7724455997558494,26257,-1571.8290000000006,141.24,49.0,61.4764741897583
174,-3357.8000000000075,200,False,0.7712869313562156,26457,-1599.0990000000006,142.22,48.0,56.68188839912415
175,-2597.500000000003,200,False,0.7701300009591814,26657,-1618.9330000000004,143.66,47.0,61.84439715385437
176,-889.2499999999976,143,True,0.7689748059577427,26800,-1607.4875000000006,143.09,48.0,56.94334857940674
177,-770.8999999999993,118,True,0.7678213437488062,26918,-1596.0395000000003,142.27,49.0,56.01277492523193
178,-3364.400000000007,200,False,0.766669611733183,27118,-1609.1255000000006,142.27,49.0,54.833368911743165
179,-1486.3999999999974,200,False,0.7655196073155833,27318,-1624.0440000000003,144.2,48.0,59.39401205062866
180,-1520.0999999999979,200,False,0.76437132790461,27518,-1621.8460000000005,144.2,48.0,53.73651081085205
181,-330.2500000000001,65,True,0.7632247709127532,27583,-1606.0415000000005,142.85,49.0,56.85576391220093
182,-2011.3999999999985,200,False,0.7620799337563842,27783,-1616.5965000000006,143.21,48.0,64.3736501121521
183,-3631.5000000000073,200,False,0.7609368138557496,27983,-1631.2835000000007,143.21,48.0,53.323287887573244
184,-2743.7000000000035,200,False,0.7597954086349661,28183,-1610.0365000000006,143.21,48.0,67.19561016082764
185,-439.1000000000001,66,True,0.7586557155220137,28249,-1592.2645000000007,142.33,48.0,63.01067911148071
186,-540.2,90,True,0.7575177319487307,28339,-1584.492000000001,141.34,48.0,68.87666320800781
187,-82.79999999999998,28,True,0.7563814553508077,28367,-1564.8080000000007,139.62,49.0,70.65641117095947
188,-1843.199999999998,176,True,0.7552468831677815,28543,-1556.6500000000008,139.38,50.0,68.02713550567627
189,-1036.4999999999984,98,True,0.7541140128430299,28641,-1567.177500000001,140.31,50.0,72.78961395263671
190,5.199999999999999,12,True,0.7529828418237654,28653,-1561.2700000000007,139.54,50.0,69.84884614944458
191,-1078.699999999999,130,True,0.7518533675610298,28783,-1553.956500000001,139.25,50.0,62.23690242767334
192,-915.4499999999967,187,True,0.7507255875096883,28970,-1560.7185000000004,140.45,50.0,67.31661630630494
